"College","Control Number","Course ID","TOP Code","Credit Status","Maximum Units","Minimum Units","Basic Skills Status","SAM Status","Prior To Transfer Status","Non-Credit Category","Funding Category","Non-Credit Minimum Hours","Non-Credit Maximum Hours","Issue/Update Date"
"Cabrillo","CCC000011760","BOT30B3     ","051400","D","03.00","01.00","N","B","X","Y","X",,,"20070917"
"Cabrillo","CCC000283022","BOT321      ","051400","D","03.00","01.00","N","C","X","Y","X",,,"20070917"
"Cabrillo","CCC000300589","BOT322      ","051400","D","03.00","01.00","N","C","X","Y","X",,,"20070917"
"Cabrillo","CCC000317945","BOT323      ","051400","D","03.00","01.00","N","C","X","Y","X",,,"20070917"
"Cabrillo","CCC000348385","CA-107A     ","070100","D","03.00","03.00","N","D","Y","Y","Y",,,"20070919"
"Cabrillo","CCC000348368","DRAFT-73    ","095300","D","03.00","03.00","N","C","Y","Y","Y",,,"20070919"
"Cabrillo","CCC000348369","CAHM50A     ","130630","D","01.00","01.00","N","D","Y","Y","Y",,,"20180629"
"Cabrillo","CCC000348372","CS-105B     ","070600","D","01.50","01.50","N","D","Y","Y","Y",,,"20070919"
"Cabrillo","CCC000348452","ARCHE-113B  ","220220","D","01.00","01.00","N","B","Y","Y","Y",,,"20070919"
"Cabrillo","CCC000348444","N-210       ","123010","C","02.50","02.50","N","D","Y","Y","Y",,,"20070919"
"Cabrillo","CCC000348470","RT-199C     ","122500","D","04.00","00.50","N","C","Y","Y","Y",,,"20141030"
"Cabrillo","CCC000348472","CABT-230    ","493040","C","03.00","03.00","B","C","Y","Y","Y",,,"20070919"
"Cabrillo","CCC000348620","MUS-150     ","100400","D","05.00","00.50","N","E","Y","Y","Y",,,"20070919"
"Cabrillo","CCC000348630","ECE-54      ","130500","D","03.00","01.00","N","C","Y","Y","Y",,,"20080725"
"Cabrillo","CCC000348642","AH17        ","100200","D","03.00","03.00","N","E","Y","Y","Y",,,"20180630"
"Cabrillo","CCC000348587","MUS36       ","100400","D","01.00","01.00","N","E","Y","Y","Y",,,"20180831"
"Cabrillo","CCC000348558","BOT-30B     ","070100","D","03.00","01.50","N","C","Y","Y","Y",,,"20070919"
"Cabrillo","CCC000348528","CG-99C      ","493010","D","01.00","01.00","N","E","Y","Y","Y",,,"20070919"
"Cabrillo","CCC000348515","FPT-151     ","213300","D","03.00","03.00","N","D","Y","Y","Y",,,"20070919"
"Cabrillo","CCC000348121","FT-7        ","213300","D","03.00","03.00","N","C","Y","Y","Y",,,"20070919"
"Cabrillo","CCC000348124","SBUS-130TS  ","050100","D","00.50","00.50","N","C","Y","Y","Y",,,"20070919"
"Cabrillo","CCC000348137","ESL-153C    ","493080","D","04.00","04.00","B","E","A","Y","Y",,,"20070919"
"Cabrillo","CCC000348203","SBUS-130BK  ","050100","D","00.50","00.50","N","C","Y","Y","Y",,,"20070919"
"Cabrillo","CCC000348212","ITAL10      ","110400","D","03.00","03.00","N","E","Y","Y","Y",,,"20180829"
"Cabrillo","CCC000348170","CG-205L     ","493010","C","03.00","01.00","N","E","Y","Y","Y",,,"20140514"
"Cabrillo","CCC000348193","PSYCH1      ","200100","D","03.00","03.00","N","E","Y","Y","Y",,,"20180707"
"Cabrillo","CCC000348145","MUS-101     ","100400","D","01.00","01.00","N","E","Y","Y","Y",,,"20070919"
"Cabrillo","CCC000348154","CAOS-139    ","070100","D","01.00","01.00","N","C","Y","Y","Y",,,"20070919"
"Cabrillo","CCC000348172","WS-39AB     ","220110","D","01.00","01.00","N","E","Y","Y","Y",,,"20070919"
"Cabrillo","CCC000348239","ALA-22      ","130100","D","03.00","01.00","N","C","Y","Y","Y",,,"20070919"
"Cabrillo","CCC000348219","SB-120WP    ","050100","D","01.00","01.00","N","C","Y","Y","Y",,,"20070919"
"Cabrillo","CCC000348224","PS-80S      ","220700","D","03.00","01.00","N","E","Y","Y","Y",,,"20070919"
"Cabrillo","CCC000348271","CIS-151     ","070800","D","04.00","03.00","N","C","Y","Y","Y",,,"20070919"
"Cabrillo","CCC000348274","DM-132      ","061400","D","03.00","03.00","N","C","Y","Y","Y",,,"20070919"
"Cabrillo","CCC000348257","ECE-156L    ","130500","D","03.00","01.00","N","C","Y","Y","Y",,,"20070919"
"Cabrillo","CCC000348298","N-91        ","123010","D","01.00","01.00","N","C","Y","Y","Y",,,"20070919"
"Cabrillo","CCC000348299","CABT-205    ","051400","C","02.00","02.00","N","C","Y","Y","Y",,,"20100730"
"Cabrillo","CCC000348296","MA-185      ","120800","D","04.00","02.00","N","C","Y","Y","Y",,,"20070919"
"Cabrillo","CCC000348307","ANTHR-13    ","220200","D","03.00","03.00","N","E","Y","Y","Y",,,"20070919"
"Cabrillo","CCC000348326","IT-172      ","095600","D","03.00","03.00","N","C","Y","Y","Y",,,"20070919"
"Cabrillo","CCC000348845","SPAN80S     ","110500","D","04.00","01.00","N","E","Y","Y","Y",,,"20180906"
"Cabrillo","CCC000348860","ESL-2       ","493084","D","06.00","06.00","N","E","Y","Y","Y",,,"20100730"
