College,Program Proposal Id,Course Proposal Id,Program Control Number,Program Status,Course Control Number,Course Status,Course Id,Course Title,Course TOP Code,Course Classification Code
Cabrillo,49619,49008,06326,Approved,CCC000446054,Active,ASTRO3,Solar System Astronomy,191100,Y
Cabrillo,49619,393328,06326,Approved,CCC000528097,Active,ASTRO7,Planetary Climate Science ,191100,Y
Cabrillo,49619,48484,06326,Approved,CCC000357992,Active,ASTRO8A,Observational Astronomy,191100,Y
Cabrillo,49619,49179,06326,Approved,CCC000446055,Active,ASTRO4,"Stars, Galaxies and the Origin of the Universe",191100,Y
Cabrillo,49619,393331,06326,Approved,CCC000558591,Active,ASTRO9A,Astrophotography,191100,Y
Cabrillo,49619,411895,06326,Approved,CCC000569029,Active,ASTRO25,Field Astronomy in the California Mountains ,191100,Y
Cabrillo,49619,46251,06326,Approved,CCC000521248,Active,MATH5A,Analytic Geometry and Calculus I,170100,Y
Cabrillo,49619,46254,06326,Approved,CCC000521249,Active,MATH5B,Analytic Geometry and Calculus II,170100,Y
Cabrillo,49619,431443,06326,Approved,CCC000577099,Active,MATH5C,ANALYTIC GEOMETRY AND CALCULUS III,170100,Y
Cabrillo,49619,48649,06326,Approved,CCC000356517,Active,PHYS4A,Physics for Scientists and Engineers I,190200,Y
Cabrillo,49619,48651,06326,Approved,CCC000370258,Active,PHYS4C,Physics for Scientists and Engineers III,190200,Y
Cabrillo,49619,48650,06326,Approved,CCC000382515,Active,PHYS4B,Physics for Scientists and Engineers II,190200,Y
Cabrillo,49619,47504,06326,Approved,CCC000351486,Active,CHEM1A,General Chemistry I,190500,Y
Cabrillo,49619,47505,06326,Approved,CCC000377228,Active,CHEM1B,General Chemistry II,190500,Y
Cabrillo,49619,413342,06326,Approved,CCC000374589,Active,CIS90,Introduction to UNIX/Linux,070800,Y
Cabrillo,49619,46548,06326,Approved,CCC000359470,Active,CS19,C++ Programming,070600,Y
Cabrillo,49619,48005,06326,Approved,CCC000379511,Active,MATH7,Introduction to Differential Equations,170100,Y
Cabrillo,49619,452703,06326,Approved,CCC000521251,Active,MATH12,Elementary Statistics,170100,Y
Cabrillo,49619,452704,06326,Approved,CCC000521252,Active,MATH12H,Honors Elementary Statistics,170100,Y
Cabrillo,49619,404856,06326,Approved,CCC000345586,Active,GEOL10,Physical Geology,191400,Y
Cabrillo,49626,46457,17994,Active,CCC000528089,Inactive,ASL1,Beginning American Sign Language,110100,Y
Cabrillo,49626,47210,17994,Active,CCC000528549,Inactive,ASL2,Elementary American Sign Language,110100,Y
Cabrillo,49626,47900,17994,Active,CCC000528725,Inactive,ASL3,Intermediate American Sign Language (ASL),110100,Y
Cabrillo,49626,361224,17994,Active,CCC000543565,Active,ASL1,Elementary American Sign Language I,110100,Y
Cabrillo,49626,361227,17994,Active,CCC000543566,Active,ASL2,Elementary American Sign Language II,110100,Y
Cabrillo,49626,361230,17994,Active,CCC000543567,Active,ASL3,Intermediate American Sign Language I,110100,Y
Cabrillo,49639,469383,16552,Approved,CCC000595406,Active,CIS116,IPv6 Fundamentals,070800,Y
